enst	entrez	tsea	pLI	oe_lof_upper	mis_z	subre	module	go	corum	string	target
ENST00000263253	2033	0	1.0	0.099	2.0341	0	M7	94	yes	1	1
ENST00000263967	5290	0	1.0	0.11699999999999999	5.5986	0	M7	39	yes	1	1
ENST00000264010	10664	0	0.9999399999999999	0.14800000000000002	4.4399	0	M7	16	yes	1	1
ENST00000264414	8452	0	0.9996	0.228	4.7538	0	other	33	no	0	1
ENST00000264426	2891	1	0.99913	0.248	4.619	0	other	34	no	0	1
ENST00000264649	535	1	0.99797	0.268	3.7439	0	M7	7	no	0	1
ENST00000264709	1788	0	7.349999999999999e-39	1.581	3.4465	6	M1	16	no	0	1
ENST00000264716	2355	0	0.98293	0.24100000000000002	1.5958	3	other	0	no	0	1
ENST00000269122	1213	0	1.0	0.10400000000000001	7.7637	0	other	10	no	0	1
ENST00000271715	23126	0	1.0	0.11900000000000001	3.5062	0	M1	8	no	0	1
ENST00000271751	3756	1	0.54625	0.387	3.8156	3	other	22	no	1	1
ENST00000272102	375	0	0.8996700000000001	0.402	3.3871	0	other	15	no	0	1
ENST00000274547	2561	1	0.8487600000000001	0.385	3.3968	3	M13	13	yes	1	1
ENST00000275034	55023	0	1.0	0.113	5.1395	4	M1	12	no	0	1
ENST00000275732	64599	0	3.42e-06	0.484	-0.1491	0	M1	0	no	0	1
ENST00000276033	6567	0	0.9617	0.325	2.1982	0	M1	2	no	0	1
ENST00000276079	4841	0	0.9935	0.244	3.5885	6	M7	16	no	1	1
ENST00000277541	4851	0	1.0	0.09699999999999999	3.4451	6	other	120	yes	0	1
ENST00000280772	288	1	1.0	0.08900000000000001	2.7937	1	M4	29	no	1	1
ENST00000281043	4613	0	0.88897	0.41200000000000003	1.4064	8	M1	0	no	0	1
ENST00000281708	55294	1	0.99949	0.23199999999999998	3.7111	2	other	40	no	0	1
ENST00000281928	23389	0	1.0	0.064	3.6910000000000003	3	M1	0	no	0	1
ENST00000282030	26040	0	1.0	0.11	1.0965	6	M1	0	no	1	1
ENST00000283179	3192	0	1.0	0.114	3.3718	2	M7	55	yes	1	1
ENST00000283256	6326	1	1.0	0.127	6.4853	1	other	33	no	0	1
ENST00000287766	6529	1	0.9999299999999999	0.15	4.1766	0	other	9	no	1	1
ENST00000288602	673	0	0.99995	0.209	3.7208	0	other	6	no	0	1
ENST00000288840	4091	0	3.63e-20	1.975	-0.59229	0	other	40	no	0	1
ENST00000290921	1487	0	0.9844200000000001	0.278	3.3093	0	M7	22	yes	0	1
ENST00000294725	343450	0	0.041658	0.374	3.5606	0	M4	11	no	1	1
ENST00000295888	23001	0	1.0	0.071	5.8174	0	M7	2	no	0	1
ENST00000296122	5500	0	0.9991200000000001	0.147	4.3319	0	other	8	no	0	1
ENST00000301030	29123	0	1.0	0.107	-0.5536300000000001	0	M7	7	no	0	1
ENST00000301293	10501	1	0.062270000000000006	0.462	2.2197	0	M13	28	no	0	1
ENST00000301740	23524	0	1.0	0.11800000000000001	-6.2829	0	M7	8	yes	1	1
ENST00000302326	4330	0	0.9999899999999999	0.087	2.1584	8	M1	1	no	0	1
ENST00000302640	3708	0	1.0	0.134	5.5951	2	M13	22	no	0	1
ENST00000302904	7343	0	1.0	0.06	4.7489	0	M1	4	no	0	1
ENST00000303395	6323	1	1.0	0.071	5.2206	2	M13	30	no	1	1
ENST00000303635	23261	0	1.0	0.172	3.2619	0	other	0	no	0	1
ENST00000303660	9839	0	1.0	0.107	3.9433	3	M1	11	yes	0	1
ENST00000304992	10594	0	1.0	0.17800000000000002	8.2838	0	M7	8	yes	0	1
ENST00000305921	8493	0	2.2300000000000003e-11	1.0959999999999999	2.7031	5	M7	10	no	1	1
ENST00000307102	5604	0	0.89669	0.377	3.1085	0	other	9	no	0	1
ENST00000308025	9416	0	0.54199	0.361	4.623	0	M7	8	yes	1	1
ENST00000309577	1108	0	1.0	0.158	6.3219	1	M7	15	yes	0	1
ENST00000309993	55167	0	0.6240600000000001	0.48100000000000004	2.0034	2	M7	14	yes	1	1
ENST00000310144	5705	0	0.9330799999999999	0.355	4.1587	0	other	27	no	0	1
ENST00000312196	10943	0	0.99665	0.17800000000000002	1.9314	0	M1	32	yes	1	1
ENST00000313899	3184	0	0.99621	0.22699999999999998	2.4525	3	M7	12	no	1	1
ENST00000315285	6683	0	0.99939	0.22399999999999998	1.2438	6	M7	9	no	0	1
ENST00000315869	7030	0	0.97985	0.29	2.1546	0	other	1	no	0	1
ENST00000315987	3752	1	0.98972	0.27899999999999997	3.8545	1	other	29	no	1	1
ENST00000316361	3737	1	0.9106700000000001	0.38	3.8310000000000004	3	other	27	no	0	1
ENST00000316623	2200	0	1.0	0.049	5.0644	0	other	27	no	0	1
ENST00000317147	23019	0	1.0	0.038	7.2546	0	M7	14	no	0	1
ENST00000318218	26999	1	1.0	0.124	6.1026	0	other	0	no	0	1
ENST00000320580	55690	0	0.9999899999999999	0.185	3.71	1	M4	4	no	0	1
ENST00000322002	6664	1	0.85844	0.44	2.2591	9	M1	91	no	1	1
ENST00000322088	5518	0	0.9838899999999999	0.303	4.4565	0	M7	16	yes	1	1
ENST00000322213	8243	0	1.0	0.062	6.4479	3	M7	23	yes	1	1
ENST00000322357	51341	0	0.95915	0.32899999999999996	4.0428	3	other	36	no	0	1
ENST00000323997	2027	0	1.5699999999999999e-19	1.686	-0.92501	1	other	2	no	0	1
ENST00000324545	8239	0	1.0	0.051	6.4105	0	other	22	no	0	1
ENST00000324856	8289	0	1.0	0.071	3.6582	3	M1	25	yes	1	1
ENST00000326043	4094	0	0.74382	0.537	1.1779	0	other	6	no	1	1
ENST00000326181	84231	0	0.021818999999999998	0.456	3.2605	1	M1	3	no	0	1
ENST00000326270	11011	0	1.0	0.138	4.4877	0	M1	15	no	0	1
ENST00000330684	2903	1	0.99998	0.188	2.8278	2	other	54	no	0	1
ENST00000331327	5813	0	0.94029	0.335	3.3704	1	other	5	no	0	1
ENST00000332830	57649	0	1.0	0.135	2.4291	0	M7	4	no	1	1
ENST00000333646	9968	0	1.0	0.053	6.5756	1	M7	5	yes	0	1
ENST00000333725	6938	0	0.67602	0.37200000000000005	0.89015	3	M7	9	no	0	1
ENST00000334512	57178	0	0.9993700000000001	0.252	3.3882	5	M1	39	no	0	1
ENST00000335712	53335	1	0.96998	0.322	3.835	4	M7	8	no	1	1
ENST00000338081	1641	1	0.3042	0.616	2.7035	9	M1	8	no	0	1
ENST00000338508	22941	1	8.43e-07	0.45799999999999996	2.3243	0	other	69	no	0	1
ENST00000339475	5015	1	0.9234399999999999	0.376	1.0457	1	other	15	no	1	1
ENST00000340096	8481	0	0.95968	0.322	0.31954	0	M1	12	no	0	1
ENST00000340208	4208	0	0.017256	0.608	3.9523	3	M4	123	no	1	1
ENST00000340635	5144	0	0.9998	0.20600000000000002	3.7529	4	M1	24	no	1	1
ENST00000342771	26053	0	0.99934	0.253	2.2242	6	M1	31	no	1	1
ENST00000342988	4089	0	0.9988100000000001	0.222	4.1308	3	M7	84	yes	0	1
ENST00000344204	7204	0	1.0	0.139	5.3161	4	M4	4	no	0	1
ENST00000344746	6134	0	0.90915	0.387	2.6137	1	other	0	no	0	1
ENST00000344836	7874	0	1.0	0.061	5.648	0	M7	20	no	0	1
ENST00000344921	6598	0	0.9968899999999999	0.222	3.5531	0	M7	35	yes	0	1
ENST00000347630	8405	0	0.9992200000000001	0.14400000000000002	4.1412	0	M7	2	no	0	1
ENST00000348513	6605	0	0.99915	0.191	2.7408	3	M1	24	yes	1	1
ENST00000349014	23394	0	1.0	0.12300000000000001	2.0722	3	M1	1	no	0	1
ENST00000349496	1499	0	0.9999899999999999	0.129	3.846	1	M7	97	yes	0	1
ENST00000349721	6595	0	1.0	0.203	5.053999999999999	0	M4	9	yes	1	1
ENST00000351004	2770	0	0.91125	0.379	2.6279	1	M7	18	yes	0	1
ENST00000351677	5781	0	0.99998	0.135	3.1293	0	other	22	no	0	1
ENST00000352432	491	1	1.0	0.14800000000000002	4.5484	3	other	14	no	0	1
ENST00000353383	10743	0	1.0	0.11599999999999999	1.1156	1	M1	3	no	0	1
ENST00000354534	6334	1	1.0	0.13	7.6404	2	other	22	no	1	1
ENST00000354587	3785	1	0.9998799999999999	0.19899999999999998	4.0371	0	other	19	yes	0	1
ENST00000354911	51322	0	1.0	0.084	1.5119999999999998	1	M7	9	no	0	1
ENST00000355995	6934	0	0.9978799999999999	0.257	2.4627	1	other	47	yes	0	1
ENST00000356142	5879	0	0.7622800000000001	0.467	3.1347	0	other	46	no	0	1
ENST00000356577	6651	0	1.0	0.11800000000000001	1.541	0	M1	4	no	0	1
ENST00000356805	6711	0	1.0	0.08800000000000001	4.5424	0	M13	12	no	1	1
ENST00000357077	287	1	1.0	0.106	1.9641	1	M4	39	no	1	1
ENST00000357195	64919	1	0.9888100000000001	0.282	4.7118	6	M7	0	no	1	1
ENST00000357496	54870	0	0.9957600000000001	0.275	3.7104	0	M7	0	no	0	1
ENST00000358026	6597	0	1.0	0.07200000000000001	6.7662	3	M1	41	yes	0	1
ENST00000358273	4763	0	0.90175	0.29	6.5427	0	M7	72	no	0	1
ENST00000358901	7415	0	0.9999899999999999	0.127	5.4064	0	M7	22	no	0	1
ENST00000359106	8913	1	1.0	0.21100000000000002	4.6386	1	other	39	no	1	1
ENST00000359462	5094	0	0.9961700000000001	0.228	4.133	0	M1	7	no	1	1
ENST00000359486	6942	0	1.0	0.095	0.089523	2	M1	0	no	0	1
ENST00000359863	8295	0	1.0	0.06	8.173	0	M1	20	no	1	1
ENST00000360184	1778	0	1.0	0.08	10.967	0	M4	14	no	0	1
ENST00000360228	773	1	1.0	0.134	5.7845	1	other	17	no	1	1
ENST00000360439	25942	0	1.0	0.07	4.3926	1	M7	45	yes	0	1
ENST00000360647	7707	0	0.99997	0.10300000000000001	3.5168	3	M7	2	no	0	1
ENST00000360880	6663	1	0.99166	0.209	2.7665	0	other	13	no	0	1
ENST00000361360	5455	1	0.8827799999999999	0.429	3.0416	5	M1	10	no	1	1
ENST00000361445	2475	0	1.0	0.185	7.0206	0	other	35	no	0	1
ENST00000361804	9126	0	1.0	0.037000000000000005	6.3999	6	M1	21	yes	1	1
ENST00000366756	28514	0	0.9999899999999999	0.095	1.8154	4	other	77	no	0	1
ENST00000367148	57492	0	1.0	0.086	2.7208	2	M1	9	yes	0	1
ENST00000367264	10765	0	1.08e-14	0.5660000000000001	1.8316	8	M1	11	no	0	1
ENST00000368322	6016	0	0.13280999999999998	0.645	2.0757	0	other	1	no	0	1
ENST00000368346	55870	0	1.0	0.062	3.4619999999999997	1	M7	19	no	0	1
ENST00000368655	57459	0	0.99998	0.09699999999999999	3.161	1	M7	10	yes	1	1
ENST00000369329	6885	0	0.99971	0.212	2.786	0	M7	29	no	0	1
ENST00000369622	10492	0	0.99939	0.209	3.5396	1	M7	11	yes	1	1
ENST00000371100	2778	0	0.68076	0.37200000000000005	2.6546	0	other	14	no	0	1
ENST00000371189	4774	0	0.99959	0.20199999999999999	3.2310000000000003	5	M7	0	no	0	1
ENST00000371546	2902	1	0.9795299999999999	0.306	6.3496	2	M13	76	no	0	1
ENST00000371741	3745	0	0.99977	0.125	4.269	2	other	55	no	1	1
ENST00000371953	5728	0	0.25651	0.507	3.4883	0	other	105	no	1	1
ENST00000372348	25	0	0.99998	0.17600000000000002	2.5581	1	M1	57	no	0	1
ENST00000372692	6418	0	0.99597	0.183	2.6574	0	M7	28	yes	1	1
ENST00000372923	1759	1	0.9991700000000001	0.252	5.1795	2	other	17	no	0	1
ENST00000373302	6812	1	1.0	0.086	4.263	2	other	21	no	0	1
ENST00000373313	9935	0	0.90304	0.397	2.1673	1	M4	11	no	1	1
ENST00000373344	546	0	1.0	0.11900000000000001	3.1025	0	M1	41	no	0	1
ENST00000373573	55869	0	0.9770700000000001	0.297	2.8212	0	other	22	no	1	1
ENST00000373840	51552	0	0.9904700000000001	0.214	2.8522	0	other	4	no	0	1
ENST00000374839	55906	0	0.9075200000000001	0.39	1.5121	2	M7	11	no	0	1
ENST00000375401	8242	0	1.0	0.166	5.1452	0	M7	9	no	1	1
ENST00000375687	171023	0	1.25e-14	0.794	0.63581	0	M1	10	no	1	1
ENST00000375759	23013	0	1.0	0.071	2.8932	1	M1	11	no	0	1
ENST00000375885	1460	0	0.78498	0.455	2.8930000000000002	0	M1	23	yes	0	1
ENST00000376263	3190	0	0.99998	0.096	3.9922	1	M7	10	yes	1	1
ENST00000376358	11152	0	0.9663799999999999	0.284	2.0044	0	other	1	no	0	1
ENST00000377022	54897	0	1.0	0.152	2.6057	3	other	2	no	0	1
ENST00000377102	10253	0	0.97126	0.273	0.97396	1	other	22	no	0	1
ENST00000378163	8573	0	1.0	0.07200000000000001	4.2472	1	M1	14	no	0	1
ENST00000378444	54880	0	1.0	0.141	1.8797	7	M7	16	no	1	1
ENST00000378536	6497	0	0.9990100000000001	0.19399999999999998	1.5143	1	M4	90	yes	0	1
ENST00000378609	2782	0	0.9992	0.145	3.8328	0	M1	20	yes	0	1
ENST00000379328	2625	0	0.8988700000000001	0.38799999999999996	1.913	1	other	81	no	1	1
ENST00000379361	139411	1	0.98224	0.284	2.004	1	other	5	no	0	1
ENST00000379510	22866	1	0.9999600000000001	0.185	3.6053	0	other	0	no	0	1
ENST00000379565	6197	0	0.9999899999999999	0.087	4.5208	0	other	6	no	0	1
ENST00000379806	5160	0	0.9884200000000001	0.266	2.572	0	other	0	no	0	1
ENST00000379989	6792	0	0.9993200000000001	0.226	2.7357	0	other	34	no	1	1
ENST00000380358	1107	0	1.0	0.147	6.1518	4	M1	12	yes	1	1
ENST00000380518	1280	0	1.0	0.134	3.2926	8	other	8	no	0	1
ENST00000380833	1183	1	0.9989299999999999	0.151	4.5166	0	other	6	no	0	1
ENST00000381527	1024	0	0.40963999999999995	0.418	3.6819	1	M7	2	yes	0	1
ENST00000381591	10771	0	1.0	0.12	3.7109	0	M7	10	no	0	1
ENST00000382004	5991	0	1.0	0.10400000000000001	3.4728	4	M1	13	no	0	1
ENST00000382869	7750	0	0.6664800000000001	0.332	3.0143	1	M1	1	yes	0	1
ENST00000382899	7403	0	1.0	0.163	2.7338	1	M7	21	yes	0	1
ENST00000383202	10274	0	1.0	0.11900000000000001	4.4429	4	M1	9	yes	1	1
ENST00000383829	7862	0	1.0	0.17600000000000002	3.8305	0	M7	22	yes	1	1
ENST00000388996	3786	1	0.80089	0.35600000000000004	2.068	0	other	19	yes	0	1
ENST00000389044	9320	0	1.0	0.057999999999999996	4.5507	0	M7	14	no	0	1
ENST00000389554	10716	1	0.9990100000000001	0.19399999999999998	3.6362	7	M7	14	no	1	1
ENST00000394196	1106	0	1.0	0.07	5.2052	0	M1	2	no	0	1
ENST00000394292	84295	0	0.99831	0.16	2.2871	7	M1	6	no	0	1
ENST00000395925	2737	0	0.9999899999999999	0.195	0.5222	6	other	22	no	0	1
ENST00000396204	6096	1	0.99954	0.179	3.0501	7	M7	13	no	0	1
ENST00000396611	5295	0	0.99979	0.22699999999999998	2.7545	2	other	40	yes	0	1
ENST00000397581	4781	0	0.99966	0.198	2.5768	5	M1	21	no	0	1
ENST00000397786	9969	0	1.0	0.03	2.6232	1	M1	4	yes	0	1
ENST00000397954	7337	0	0.9998	0.20600000000000002	4.4026	0	M7	14	no	0	1
ENST00000398339	6925	0	0.9998100000000001	0.217	4.1035	4	M1	13	yes	1	1
ENST00000398376	815	1	0.99845	0.251	4.6751	2	other	38	no	1	1
ENST00000398960	1859	0	0.9996700000000001	0.214	3.3441	0	other	18	no	0	1
ENST00000399050	1500	0	0.9999899999999999	0.185	2.0763	4	other	11	no	0	1
ENST00000399161	23040	1	1.0	0.087	4.7851	3	M4	4	no	0	1
ENST00000399510	1742	1	0.99954	0.23800000000000002	4.933	0	other	89	no	1	1
ENST00000399634	775	0	1.0	0.11599999999999999	6.3377	0	other	57	no	0	1
ENST00000399959	1654	0	0.9998600000000001	0.11800000000000001	4.3295	0	M7	35	no	0	1
ENST00000403359	80204	0	1.0	0.09699999999999999	4.3792	0	M7	5	no	0	1
ENST00000404115	8450	0	1.0	0.085	3.7714	0	M7	17	no	0	1
ENST00000404771	3778	0	0.9991700000000001	0.262	5.0023	1	M13	30	no	0	1
ENST00000404807	55777	0	1.0	0.122	1.2028	0	M1	8	no	0	1
ENST00000404971	9378	1	0.99964	0.254	2.5642	0	M7	38	no	1	1
ENST00000407969	55209	0	0.99998	0.225	1.2298	0	M1	30	no	0	1
ENST00000408937	93986	0	0.9999399999999999	0.21899999999999997	1.8963	3	M7	6	no	1	1
ENST00000409792	29072	0	1.0	0.20600000000000002	3.0459	0	M1	38	no	1	1
ENST00000414423	80232	0	1.0	0.085	3.5843	0	M7	0	no	0	1
ENST00000414552	2566	1	0.73852	0.39899999999999997	2.9939	1	other	22	yes	1	1
ENST00000417717	6304	0	0.99051	0.293	3.9832	3	other	3	no	0	1
ENST00000418600	8831	0	1.0	0.052000000000000005	5.6047	1	M7	3	no	0	1
ENST00000420696	5087	0	0.9952700000000001	0.255	3.8266	6	M7	8	no	1	1
ENST00000423381	818	0	0.99949	0.23199999999999998	3.8618	2	other	15	no	0	1
ENST00000425528	30000	0	1.0	0.129	5.8776	0	M7	2	no	0	1
ENST00000425967	2260	0	0.99984	0.215	2.4852	1	other	25	no	0	1
ENST00000426263	6513	0	0.9941	0.24100000000000002	2.9256	0	other	11	no	0	1
ENST00000426333	9343	0	1.0	0.094	4.0264	0	M7	7	yes	1	1
ENST00000430069	79718	0	0.99995	0.106	4.2042	0	M7	18	no	0	1
ENST00000433339	93380	0	0.047922	1.099	0.6370899999999999	0	other	0	no	0	1
ENST00000435030	3800	1	1.0	0.11699999999999999	4.0539	0	other	13	no	0	1
ENST00000435504	55252	0	1.0	0.146	1.7069999999999999	0	other	5	no	0	1
ENST00000435607	6329	0	0.01294	0.37799999999999995	1.5606	1	other	16	no	1	1
ENST00000439151	64324	0	1.0	0.095	3.4113	0	M1	27	no	1	1
ENST00000448073	2890	1	0.99971	0.23199999999999998	3.486	1	M1	39	no	0	1
ENST00000449580	6872	0	1.0	0.067	5.4825	0	M1	67	yes	0	1
ENST00000451604	6660	0	0.99995	0.188	3.1513	8	M7	12	no	1	1
ENST00000452555	7355	0	0.35834	0.711	2.3939	0	M7	1	no	0	1
ENST00000453960	4204	0	0.8938200000000001	0.40700000000000003	-1.2125	0	M7	24	yes	1	1
ENST00000454349	23112	0	1.0	0.17300000000000001	2.8741	0	M7	10	no	0	1
ENST00000457416	2263	1	0.99731	0.27	2.4019999999999997	0	other	118	no	0	1
ENST00000457607	22907	0	1.0	0.146	5.2991	0	M7	1	no	0	1
ENST00000457913	58499	0	1.0	0.084	3.3436	5	M1	0	no	0	1
ENST00000460843	79813	0	1.0	0.07200000000000001	1.1633	1	M1	26	yes	1	1
ENST00000462833	111	0	0.99928	0.254	3.4043	0	other	15	no	0	1
ENST00000474710	26137	0	0.97382	0.317	4.272	2	other	13	no	0	1
ENST00000481195	5515	0	0.9893	0.263	4.1504	0	other	18	yes	1	1
ENST00000485511	5528	0	0.9999299999999999	0.175	3.6476	0	M7	2	no	1	1
ENST00000491238	27086	0	0.99998	0.175	2.2759	2	M1	25	no	0	1
ENST00000498285	6844	1	0.87139	0.447	1.3699	0	M13	53	no	0	1
ENST00000498729	547	1	1.0	0.136	5.1579	0	M13	11	no	0	1
ENST00000521891	79776	0	1.0	0.14400000000000002	1.006	4	other	0	no	1	1
ENST00000526683	22827	0	0.99677	0.245	4.4358	0	M7	8	no	1	1
ENST00000536340	23613	0	1.0	0.146	4.0889999999999995	2	M7	11	no	0	1
ENST00000539077	4929	0	0.9986700000000001	0.201	2.2565	3	M7	18	no	0	1
ENST00000541819	2562	1	0.12047999999999999	0.485	3.2846	0	other	13	no	0	1
ENST00000553257	10059	0	0.00019852	0.514	3.75	0	other	9	no	0	1
ENST00000561208	4212	0	0.9993799999999999	0.184	2.4571	5	M1	9	no	0	1
ENST00000572681	23152	0	0.9999399999999999	0.212	0.7476	0	M4	6	no	0	1
ENST00000572815	1984	0	0.68096	0.591	2.6422	0	other	3	no	0	1
ENST00000581208	7716	0	0.99423	0.24	2.9212	4	M7	2	no	0	1
ENST00000592199	4784	0	0.9993700000000001	0.14	4.3126	4	M1	0	no	0	1
ENST00000599848	5976	0	1.0	0.161	5.6526	0	M7	11	no	0	1
ENST00000601498	1175	0	0.74869	0.5329999999999999	2.8606	0	other	5	no	0	1
ENST00000609686	2904	1	1.0	0.061	5.4168	1	M4	60	no	1	1
ENST00000000233	381	0	0.9429799999999999	0.33	2.2772	0	M7	0	no	0	0
ENST00000000412	4074	0	0.0092215	0.763	0.97915	0	other	2	no	0	0
ENST00000000442	2101	0	0.59696	0.49	2.0754	0	other	2	no	0	0
ENST00000001008	2288	0	0.15539	0.504	1.2082	0	other	11	no	0	0
ENST00000001146	56603	0	0.97987	0.29	1.0492	2	other	11	no	0	0
ENST00000002165	2519	0	4.39e-07	0.902	0.8241200000000001	0	other	1	no	0	0
ENST00000002596	9957	0	0.0044304999999999995	1.113	1.0858	1	M7	0	no	0	0
ENST00000002829	6405	0	0.99989	0.21899999999999997	2.4689	3	M1	30	no	0	0
ENST00000003084	1080	0	2.17e-58	1.307	-3.1397	0	other	25	no	0	0
ENST00000003100	1595	0	1.4599999999999998e-07	1.011	0.78819	1	M7	5	no	0	0
ENST00000003302	57646	0	4.53e-13	0.645	1.1783	1	other	11	no	0	0
ENST00000004103	55365	0	0.0093723	0.9329999999999999	0.76879	0	other	2	no	0	0
ENST00000004531	6542	0	2.34e-11	1.014	-1.4080000000000001	0	other	0	no	0	0
ENST00000004921	6362	0	0.0091743	1.7819999999999998	0.16567	0	other	0	no	0	0
ENST00000004982	126393	0	0.088703	1.347	1.2756	0	other	0	no	0	0
ENST00000005180	10344	0	0.010114	1.754	-0.20292000000000002	0	other	8	no	0	0
ENST00000005257	5898	0	0.9728899999999999	0.26899999999999996	2.7026	0	M1	6	no	0	0
ENST00000005260	55971	0	0.00010429	0.649	0.64705	0	other	6	no	0	0
ENST00000005284	10368	1	0.9941700000000001	0.195	2.6436	1	other	37	no	1	0
ENST00000005286	54972	1	2.04e-09	0.802	0.79643	0	other	0	no	0	0
ENST00000005340	1856	0	1.36e-05	0.657	0.32198000000000004	1	M1	29	no	0	0
ENST00000005386	79657	0	6.99e-05	0.581	0.42512	0	other	0	no	0	0
ENST00000005558	3475	0	0.0012140999999999999	0.674	1.2607	0	M7	3	no	0	0
ENST00000005995	10942	0	1.32e-07	1.319	-0.644	0	other	0	no	0	0
ENST00000006101	51226	0	7.46e-08	1.614	-0.11739000000000001	0	other	1	no	0	0
ENST00000006275	79090	0	5.14e-08	1.8659999999999999	-0.021549000000000002	0	other	0	no	0	0
ENST00000006658	64847	0	1.99e-09	0.698	0.12253	0	other	0	no	0	0
ENST00000006724	1087	0	1.35e-07	1.527	-0.63735	0	other	0	no	0	0
ENST00000006777	57414	0	0.63858	0.529	0.66528	0	other	0	no	0	0
ENST00000007264	113000	0	1.67e-10	1.889	-1.4875	0	other	0	no	0	0
ENST00000007414	114881	0	0.0028675000000000003	0.444	2.1303	0	other	5	no	0	0
ENST00000007516	4706	0	0.55388	0.718	0.15938	0	other	1	no	0	0
ENST00000007633	221	0	6.24e-06	0.995	0.9589200000000001	0	other	0	no	0	0
ENST00000007699	51087	0	0.9989600000000001	0.15	1.6018	1	other	0	no	0	0
ENST00000007735	3883	0	3.19e-17	1.689	-1.0212	0	other	0	no	0	0
ENST00000007969	10233	0	1.84e-08	1.218	0.25338	0	other	0	no	0	0
ENST00000008527	1407	0	1.66e-09	0.8140000000000001	1.6078	0	M1	24	no	0	0
ENST00000008938	8993	0	1.7899999999999998e-05	1.787	0.53037	0	other	0	no	0	0
ENST00000009105	57172	1	0.00039801	0.6859999999999999	1.595	2	other	4	no	0	0
ENST00000009180	928	0	0.004722100000000001	0.86	0.87413	0	other	9	no	0	0
ENST00000010299	199870	0	1.04e-05	0.932	1.8151	0	M7	0	no	0	0
ENST00000010404	4257	0	0.0026577	1.72	-0.49528	0	other	0	no	0	0
ENST00000011292	1357	0	2.66e-11	1.273	1.0353	0	other	0	no	0	0
ENST00000011619	10048	0	0.9999899999999999	0.13	1.4878	0	other	3	no	0	0
ENST00000011653	920	0	0.00078914	0.7090000000000001	1.0552	0	other	15	no	0	0
ENST00000011684	55200	0	3.72e-19	1.001	0.00060687	0	other	0	no	0	0
ENST00000011691	51188	0	0.01548	1.598	0.22949	0	M7	8	no	0	0
ENST00000012049	54814	0	1.57e-08	1.3940000000000001	0.61645	0	other	1	no	0	0
ENST00000012443	5536	0	0.9993799999999999	0.209	2.7341	0	other	2	no	0	0
ENST00000013034	4830	0	0.0031764	1.207	0.53669	0	other	9	no	0	0
ENST00000013125	11183	0	0.99469	0.284	2.0578	0	M1	2	no	0	0
ENST00000013222	11185	0	0.0033238	1.651	-0.35823	0	other	5	no	0	0
ENST00000014914	9052	0	6.79e-08	1.6269999999999998	-0.61735	0	other	1	no	0	0
